Time,Healthy_Chi,Degenerative_Chi,REN01_Chi,Healthy_q0_Norm,Healthy_q1_Norm,Healthy_q2_Norm,Healthy_q3_Norm,Degenerative_q0_Norm,Degenerative_q1_Norm,Degenerative_q2_Norm,Degenerative_q3_Norm,REN01_q0_Norm,REN01_q1_Norm,REN01_q2_Norm,REN01_q3_Norm
24.0,21.741338103338013,4.848586749027163,17.63096364207842,4.449240559721782,1.463825088252474,0.49703697851952516,0.7863125985677715,2.443766241941403,3.2630230594760166,0.41121340723859207,0.4863604144197738,4.1855030128478266,2.1235835433529258,0.3968328714912969,2.1391172625848047
24.400000000000002,22.84883435317577,4.951971342730205,19.49819562278342,4.465489866987804,0.6471303729401964,0.6487541246954518,0.5805057941696543,2.21442759289349,3.236164648854184,0.43664473441974627,0.38413532123432703,4.325824015268836,0.5315583442948482,0.5165579968141971,2.3734669773532273
24.8,23.35183805839836,5.048413802158306,17.44752512060351,4.195511544367066,0.27305863254443474,1.3195493716879259,0.3706247947017867,1.9929266731794222,3.1966964989720066,0.467794483130989,0.30959477589520007,3.8029163580128102,1.7958673074801257,0.6827624579237295,2.237495026744722
25.2,23.088201639624174,5.1356174022671714,12.722869405675215,3.6777930637697533,0.9519267098063956,1.905211334898634,0.21690285212682528,1.7797437552086974,3.1457466118380775,0.5011073264263657,0.27343200244486954,2.7462040802228245,3.1985440211178453,0.7821929554291602,1.7779538470086627
25.6,22.092547999140237,5.2113488337118445,8.202704037947791,2.9644595341047992,1.5679449301171786,2.336610630517693,0.25241598806519894,1.5753105246953334,3.0844118195661605,0.5341925826456922,0.2797505266404785,1.377394852140695,4.04130433812899,0.7818103536084698,1.0966552487971175
26.0,20.582788917249015,5.273491478210511,6.641558347014018,2.117301543362685,2.042692264053763,2.5911936802854725,0.39985592034959566,1.3800246951830968,3.013754472221858,0.5655247733812189,0.3176358395022725,0.49024101383507773,4.216410153464414,0.6842354159292919,0.39917894163656953
26.400000000000002,18.8982494782177,5.320098787053319,8.98558176056102,1.2061705888360692,2.3530556348867577,2.6638699627956357,0.5416052107187583,1.194272209381781,2.934799764262062,0.5941657284743715,0.3712410674211217,1.636356400132279,3.7406706896465587,0.5176909604691903,0.6387095731759673
26.8,17.407463647066987,5.349446052401452,13.793779205524153,0.3564677740579374,2.4906491354371996,2.562769709671878,0.6477342861855905,1.018463912474999,2.848533596803179,0.6195639937715977,0.42986936211494237,2.645731054674216,2.7335492885188217,0.3438140335313553,1.2437288865336262
27.2,16.410702838712513,5.360078732205978,18.119483129142758,0.6782579844793828,2.459193676663661,2.3070410684225395,0.7091012138635198,0.8531015329522658,2.7559008962690914,0.6414219949661928,0.48796134648649486,3.199897071497167,1.4003582669841088,0.29014859941753296,1.65171466806169
27.6,16.063116272427187,5.350855435147654,19.312197036477627,1.423476392427087,2.2730262662046044,1.9247429219046799,0.7234730093321868,0.6989071703925721,2.657804326726305,0.6596103338787773,0.5427931575660961,3.233421512696436,0.3938050194615489,0.3970860657350742,1.7885288724261685
28.0,16.33849722398758,5.320983709146061,16.63572435949566,2.041606727635488,1.9553869191439437,1.4508110745931893,0.6927959956623676,0.5571009717749571,2.5551033455828867,0.6741124541455743,0.5930403414069811,2.7753798574369695,1.5175677186698788,0.5210439746762411,1.6481040435526841
28.400000000000002,17.04240129272779,5.2700469191685615,11.706429995030268,2.487711893288196,1.5364087296228874,0.9263451453132382,0.6222187097758153,0.43004912283059504,2.448613561669259,0.6849884317602805,0.6380822214076444,1.9331181389276366,2.5274393316331722,0.5877864219227051,1.2719233583987735
28.8,17.869865491631664,5.198020754536382,7.4818522107006,2.743299619403025,1.0510350516921467,0.4124899051414032,0.5195117679156165,0.3228467560200477,2.339106361908018,0.6923508153245912,0.6776714360373398,0.883900153111242,3.0952191013993846,0.5776098306902683,0.7420763946382773
29.2,18.490945445319163,5.105278271377409,6.438273236900382,2.8051542567049306,0.5383731674764278,0.29196744992046053,0.3948011788593954,0.2466075440214749,2.2273087783991676,0.6963481472903739,0.7117702594643662,0.44635746841598817,3.1553540797412714,0.4953785471894285,0.24816284435713393
29.6,18.639802629952676,4.992582840719552,9.07062364033101,2.6832586790000885,0.11227934998177451,0.7056761260720122,0.2615796796753869,0.2188457674258422,2.1139035722008805,0.6971534659702783,0.7404647863072343,1.3547694150847984,2.732447715952784,0.36476316529404024,0.5467218933608753
30.0,18.18251845652215,4.861068914376225,13.627626446320939,2.3989456890656444,0.47713021880555684,1.0953626790765336,0.1463981547012511,0.24347949394745624,1.9995295136702318,0.694956101885073,0.7639172449234912,2.075209354381499,1.9264882538230979,0.2369783964555345,0.9907608701426628
30.400000000000002,17.145791461714516,4.712211106412073,17.22237096808993,1.9826522249534346,0.8825365516515224,1.3943956344157753,0.13117091438783476,0.2990425677628764,1.8847818421763385,0.6899556992928827,0.7823379862939823,2.439147917627238,0.9013686707335499,0.21601586038288814,1.2713472604174076
30.8,15.700852016919129,4.547782676808599,17.612347178465214,1.4714442688605862,1.2054456320846931,1.585048935910389,0.2180666025395855,0.3652290091921939,1.7702128905111103,0.6823577734158474,0.7959681538597878,2.4091145880884923,0.3656864717681768,0.30726769087011213,1.3439399020176523
31.2,14.109906579229936,4.369805051014736,14.545218980804998,0.9071447552920596,1.4283035337793364,1.661704276841972,0.3118894016910999,0.432264159638427,1.6563328615951705,0.6723703507067244,0.8050684324799997,2.0162516255839327,1.2668259442551202,0.3982599507471595,1.2097777834127221
31.6,12.65213128342226,4.180490470041713,9.854106390312122,0.34430472750860175,1.5436383758186234,1.6273754047418785,0.3858350474203988,0.4960478910198103,1.5436107473236966,0.6602013895814833,0.8099114132156569,1.348709382326209,1.9879427723761596,0.4416531563812712,0.9046966867253262
32.0,11.550424264734918,3.9821802021389465,6.276997063478088,0.29107130904430367,1.5518138896437226,1.4923122053602158,0.4325480163064791,0.5548316503873291,1.432475381890016,0.646056775736465,0.8107761998429343,0.5493039696669305,2.3630217163856964,0.42619045188721255,0.49474971470945245
32.4,10.918328601718562,3.7772809309187463,5.766893463328313,0.7682095643406334,1.4601378447351425,1.2727031013544319,0.44982076226481166,0.6078738110208817,1.3233166250472248,0.630138749499962,0.8079444613493025,0.42069400025982395,2.353660408480254,0.3576264268246111,0.16703112137038212
32.8,10.739698955502147,3.568201952191289,8.344534919432528,1.1808684208574933,1.2818305731986648,0.9893295390812171,0.4382742860633262,0.6549045369876625,1.2164866751139372,0.6126446648249869,0.8016974536006799,1.1111587399993301,1.9873130133677948,0.2556776262540642,0.46275837496427785
33.2,10.883970216288835,3.357295664562508,12.169992592778195,1.4905529698179105,1.0347696156825024,0.6665973325291251,0.4006501488346171,0.6958956803037898,1.112301518086476,0.5937660080358188,0.7923137153500555,1.6207879892428523,1.3465839785822142,0.16337312183607525,0.7850320286871291
33.6,11.150142978367525,3.146803544154669,14.737431496269863,1.6829863023438403,0.7401190633252281,0.3355073986514359,0.3413994280746512,0.7309526318528613,1.0110425297187728,0.5736876240108426,0.7800672508379598,1.853329556144073,0.5625651618782339,0.16381998531895997,0.9752824425694794
34.0,11.325460670095474,2.938809381587315,14.416279269212989,1.7538960735099733,0.4213222508910276,0.13402564884923865,0.26641236815871766,0.7602590822014705,0.9129582650599769,0.5525871111192623,0.7652260760138218,1.788927024240411,0.3594168724638873,0.23870720299880607,1.006812883889905
34.4,11.241938937209165,2.735201068398981,11.385834760928121,1.7074837207984659,0.11282111870732747,0.3657724223901393,0.18321374414684027,0.7840466064201544,0.8182665008302211,0.5306343558694375,0.7480510455926587,1.4578265510994597,1.0454973443892284,0.3044623306864205,0.8847467068601947
34.800000000000004,10.815908769486459,2.5376416931837813,7.426128337857392,1.5553297885157842,0.22324403019123942,0.6221665776982687,0.10416297446671896,0.8025767387863776,0.7271566525227202,0.5079911851461384,0.7287949036684687,0.9317772164235998,1.5562277521663963,0.3315330434351986,0.6394248614471265
35.2,10.061684801130935,2.3475501867289217,4.755648005374724,1.3150677090965768,0.48753502537470034,0.8264031725083553,0.07033643283609234,0.8161297329067413,0.6397927964304811,0.4848111189643156,0.7077015171416102,0.3277186329159135,1.7980024897385327,0.31387524981834075,0.32400960713613663
35.6,9.078343674236855,2.1660912770585785,4.678119760109167,1.0088597516712983,0.704790377493718,0.9646672647444402,0.11697976066723098,0.8249971049927912,0.5563177456599133,0.461239210428233,0.6850052621522831,0.3899813180119142,1.749766330045085,0.25732601323864457,0.1306647810943574
36.0,8.015915870177372,1.994174107941502,6.867383501854632,0.6619819045481601,0.8615889530704615,1.0319047261352492,0.17811362535472663,0.8294764303645502,0.4768590994146545,0.4374119624626685,0.6609305410826127,0.903243136383514,1.4387986971784583,0.17822853988381154,0.38707589411913196
36.4,7.032047645664043,1.8324585566056892,9.677042195490094,0.30376498033671673,0.951870744766346,1.02868965504709,0.2287261252888806,0.8298675483975226,0.4015392710307362,0.41345731317171525,0.6356914127534261,1.2604275045098814,0.9326015321861397,0.11314544089224622,0.6187625204123396
36.800000000000004,6.251419438617412,1.6813680664611532,11.216714951929198,0.10873774502007938,0.9746170406237358,0.9603102264893029,0.26292441818459017,0.8264696898288968,0.33049423796407856,0.3894946836071927,0.6094913219909726,1.403591689447645,0.3369390843913803,0.1262895345576812,0.7456027058817128
37.2,5.738064959270812,1.5411076876864702,10.49353586715827,0.40133941266823325,0.9333020974592493,0.8359817082109201,0.27880276513064994,0.8195792361187183,0.26391343410293894,0.3656350834843338,0.5825229172827429,1.3237936524688014,0.34409867830603763,0.1857911161869081,0.7518824481108176
37.6,5.486218626884722,1.4116859842866476,7.930056825275768,0.6743678673092605,0.8352904850034915,0.6679977475073839,0.27636997271756214,0.809487931407619,0.20213777409178435,0.3419812721519335,0.5549679471139252,1.0487883016036124,0.8540061029644052,0.23257904991935915,0.6444980516643125
38.0,5.429891425337297,1.2929395071738161,4.997848719006945,0.8864883902002252,0.6910779652681592,0.47096470877110663,0.2570285161067381,0.7964814324373034,0.1459452269140516,0.3186279741154008,0.526997227001025,0.6365341639316923,1.2126432521124664,0.2484935989105032,0.4487421936285587
38.4,5.466545098044417,1.1845586325311708,3.259114286645034,1.0268901811720164,0.5134271340828843,0.26217170008179014,0.22329832512641562,0.7808381208191456,0.09756474575239918,0.2956621508941505,0.4987706703721734,0.18617682425526327,1.3634658639287518,0.23063054731585247,0.20757174759887945
38.800000000000004,5.487169590146919,1.086113705903761,3.4387871357459003,1.0914441382313969,0.31657428666081067,0.08479856055669963,0.17861225232333985,0.7628281261379773,0.06460564581712176,0.2731633343604268,0.47043737739822683,0.35176090555244355,1.2963322261174213,0.18446836216147397,0.11522110510277625
39.2,5.404345804493484,0.9970805986137383,5.075357867843186,1.0814597612244026,0.11728434491493851,0.18097197796331183,0.1272828182474156,0.7427125236197365,0.06354219865766328,0.25120403156367993,0.4421357767454268,0.7282235285170318,1.0366427015310649,0.12352144492718749,0.32015910238526407
39.6,5.171409021910155,0.9168649596693773,6.903658055845344,1.0030322613101745,0.09247483666308336,0.3477095750198069,0.07549436281917901,0.7207426799426813,0.08944265917988323,0.2298502183881913,0.41399381608163,0.9760623918211806,0.6390600474001845,0.0791873169510431,0.48526139226264714
